"company","lat","lang"
"亘隆國際精機股份有限公司",24.23430,120.71452
"台全成精密工業股份有限公司",24.07355,120.68170
"冠億工業社",24.07463,120.68261
"弘翔工業社",24.07355,120.68170
"宸詮興業有限公司",24.07514,120.68012
"俊奕工業（股）公司",24.07495,120.68021
"凱發工業社",24.07486,120.68013
"亦生實業有限公司",24.07374,120.68100
"仁陽工業（股）公司",24.07478,120.68093
"益源（股）公司",24.07469,120.68149
"京合實業（股）公司",24.07355,120.68170
"朝日剛業（股）公司",24.07746,120.67903
"晟銘興業有限公司",24.07479,120.68162
"愛爾蘭商速聯股份有限公司",24.07659,120.68691
"甄政股份有限公司",24.08102,120.67339
"鼎力金屬工業股份有限公司",24.09727,120.71175
"禾金豐精密工業股份有限公司",24.09513,120.71384
"鑫輝工業股份有限公司",24.09937,120.70920
"合鴻鍛造模有限公司",24.10021,120.70902
"至光工具股份有限公司",24.08346,120.68387
"鼎力興金屬",24.28907,120.69687
"檉達工業有限公司",24.28907,120.69687
"元珹工業有限公司",24.28907,120.69687
"捷寶光電股份有限公司",24.33539,120.71708
"擎耀企業有限公司",24.33565,120.71821
"慧綺股份有限公司",24.32795,120.74752
"盛昌遠機械股份有限公司",24.32795,120.74752
"坤新木業股份有限公司",24.20429,120.62921
"聯好環保股份有限公司",24.15592,120.58273
"展儀工業股份有限公司",24.06857,120.63731
"詠盛興股份有限公司",24.07030,120.63703
"鏈發射出機械股份有限公司",24.08241,120.63294
"天源機械股份有限公司",24.08187,120.63324
"升嘉工業股份有限公司",24.08069,120.63351
"鈞厚機械工業股份有限公司",24.08029,120.63364
"世祥汽材製造廠股份有限公司",24.03135,120.64153
"世盟精密工業有限公司",24.03269,120.63911
"暢大企業有限公司",24.06499,120.64868
"吉生機械股份有限公司",24.06692,120.63936
"樹德企業股份有限公司",24.06693,120.63872
"金統立工業股份有限公司",24.05825,120.64202
"亞細亞氣密隔音窗股份有限公司",24.21590,120.72671
"巨偉自動化有限公司",24.21578,120.72623
"喬茂精模工業股份有限公司",24.21515,120.72324
"安用工業股份有限公司",24.21399,120.72785
"康揚企業股份有限公司",24.21400,120.72782
"鍵吉科技股份有限公司",24.22633,120.68269
"旭東機械工業股份有限公司",24.33185,120.64268
"旭台浪板股份有限公司",24.34037,120.66340
"富博股份有限公司",24.34037,120.66340
"瑜豐實業股份有限公司",24.34081,120.66592
"明昌國際工業股份有限公司",24.34180,120.63778
"華煜科技股份有限公司",24.23588,120.65296
"程源塑膠有限公司",24.36365,120.63170
"甲隆鋼鐵股份有限公司",24.36557,120.63300
"至翔工業有限公司",24.36317,120.63934
"梅豐企業有限公司",24.36557,120.63300
"奧立璞企業股份有限公司",24.36317,120.63934
"巨易機械工業有限公司",24.36557,120.63300
"基鈿工業（股）公司",24.36442,120.63324
"開麗金屬股份有限公司",24.36581,120.63676
"貫昌企業股份有限公司",24.34656,120.60905
"誠岱機械廠股份有限公司",24.33780,120.60359
"耀陞食品股份有限公司",24.11385,120.56443
"辰崧工業有限公司",24.13980,120.54080
"爵盛興業有限公司",24.28866,120.64761
"宸興木業社",24.28941,120.64640
"上穀有限公司",24.25017,120.64667
"豐驛木業股份有限公司",24.24504,120.64132
"寶山工業社",24.24506,120.64307
"鴻錩機械股份有限公司",24.26773,120.68011
"祥合機械股份有限公司",24.26934,120.67797
"邰展機械工業股份有限公司",24.27212,120.67593
"張今股份有限公司",24.27578,120.70974
"永紘精密機械有限公司",24.25885,120.68098
"威綸精機廠",24.25866,120.68080
"昶奕企業社",24.25072,120.69781
"鉅展製刀有限公司",24.25072,120.69781
"華陽機密工業有限公司",24.25866,120.68080
"源鐽電綠能股份有限公司",24.29068,120.64479
"奇龍工業股份有限公司",24.26410,120.67661
"大金塑膠股份有限公司",24.29225,120.64215
"豪納實業有限公司",24.28279,120.64894
"懋森實業有限公司",24.26714,120.66626
"金嘉霖股份有限公司",24.27568,120.64959
"代聖企業股份有限公司",24.27845,120.64949
"寶麗行",24.27846,120.64881
"勝鑫鋼鐵股份有限公司",24.27297,120.69544
"永晟鋼鐵股份有限公司",24.27283,120.69496
"久鐵工業",24.27285,120.69493
"研順工業社",24.27303,120.69582
"順大紙器廠",24.27295,120.69579
"威捷鐵工廠股份有限公司",24.27273,120.78399
"旭豐實業廠",24.26012,120.81650
"喬明工業社",24.27338,120.78371
"瑋翔工程行",24.27314,120.78377
"品正機械工業股份有限公司",24.27074,120.77946
"至成實業股份有限公司",24.28922,120.63715
"千昊鋼鐵興業股份有限公司",24.28686,120.63546
"怡旭鋼工業股份有限公司",24.28605,120.63491
"薪豐豐業有限公司",24.28265,120.63321
"宜永塑膠有限公司",24.28371,120.63078
"向仟實業有限公司",24.28371,120.63078
"鍵豐工業（股）公司",24.29138,120.63272
"仕興機械工業股份有限公司",24.28894,120.61218
"豪泰瀝青股份有限公司",24.02342,120.67164
"義田工業股份有限公司（山上廠）",23.10371,120.34026
"工豐企業股份有限公司",23.19053,120.32236
"漢泰科技股份有限公司",22.97779,120.26028
"福光企業 ",22.92060,120.22071
"聚巨豐企業股份有限公司",22.92060,120.22071
"翔毅國際事業有限公司",22.92861,120.24011
"亮泉工業有限公司",23.08310,120.32588
"鋒美有限公司",23.04584,120.32565
"明豐國際興業有限公司",23.04320,120.32627
"織巧實業有限公司",23.02258,120.29221
"永傳企業股份有限公司",23.01602,120.30970
"榮聖機械工程股份有限公司",23.28152,120.25956
"東周化學工業（股）公司",23.29988,120.27109
"冠利有限公司",23.29969,120.27099
"凱田實業有限公司",23.13697,120.19131
"麒宏食品工業有限公司",23.12764,120.18310
"大世紀飾架有限公司",23.07987,120.19721
"雅邦企業股份有限公司",23.08288,120.23133
"機零壹科技股份有限公司",23.09379,120.21951
"延星金屬股份有限公司",23.11107,120.23968
"南良實業股份有限公司",23.05484,120.23555
"高碳特殊鋼鐵股份有限公司",23.05142,120.23239
"益在精密工業有限公司",23.05974,120.22615
"正豐塑膠企業社",23.05699,120.23944
"臺南市安南區振旺企業社",23.06001,120.22742
"景程車體股份有限公司",23.05135,120.23656
"東榮機械工廠股份有限公司",23.05118,120.23606
"凱士士企業股份有限公司七股二廠",23.15935,120.13544
"凱士士企業股份有限公司臺南市七股區4A及5E廠",23.15951,120.13116
"驊麗科技股份有限公司",23.21181,120.15409
"揚盛實業有限公司",23.26630,120.14002
"得誠企業社",22.99558,120.28227
"有田紙業有限公司",24.95655,121.28834
"連昌興有限公司",25.09293,121.20740
"比力倉儲設備公司",25.08480,121.19793
"長聲工業股份有限公司",25.07917,121.20729
"九營機械有限公司",25.08316,121.19680
"立可生有限公司",25.02075,121.23623
"佑展企業股份有限公司",24.87794,121.24494
"薪豐工業暨有皇國際公司",24.87375,121.19191
"雄煒工業有限公司",24.89251,121.24027
"宗鉅塑膠軟管股份有限公司",24.94427,121.14704
"南僑鋁業股份有限公司",24.94352,121.14553
"詠曄股份有限公司",24.96908,121.17486
"化研科技股份有限公司",25.09152,121.41682
"自然人工草實業有限公司",25.06183,121.41856
"全乙工業有限公司",24.99988,121.41206
"加迎精機廠股份有限公司",25.00086,121.41296
"崧陽工業有限公司",24.99938,121.41302
"盛旺企業有限公司",25.00070,121.41319
"翔笙洗車設備有限公司",25.00008,121.41295
"安順鑄造廠",25.00008,121.41295
"宏奇泵浦工業有限公司",23.40577,120.34303
"聯陞水泥製品有限公司",23.58165,120.41058
"陸弘股份有限公司",23.59730,120.43565
"春輝產業股份有限公司",23.45268,120.35126
"嘉聯實業股份有限公司",23.42408,120.39141
"得營砂石實業有限公司",24.36553,120.70269
"廣源造紙股份有限公司",24.41393,120.64722
"富格蘭科技有限公司",24.49547,120.77668
"喬利鋼鐵工業股份有限公司",23.95795,120.66008
"元大興企業有限公司",23.96039,120.66233
"幸福山有限公司",23.94786,120.97193
"傳說企業有限公司",22.47819,120.50213
"佳格企業社",22.49206,120.44481
"福盛旺企業有限公司",22.49910,120.57072
"兆銳塑膠股份有限公司",24.89223,121.00026
"三綠科技(股)公司",24.07289,120.63660
"三麥機械股份有限公司",25.07377,121.46104
"上玄橡膠股份有限公司",23.57695,120.41435
"上荏企業有限公司",24.23529,120.71404
"上韡工業有限公司",24.28974,120.64591
"丞舜工程行",23.05853,120.13583
"丞賀有限公司",23.94472,120.55255
"中國軸承展業股份有限公司",24.99363,121.30098
